algorithm,ensemble_size,depth,timeout,mean_score,std_score,mean_time,best_score,best_set
NMCS,1000,4,60,0.6334,0.05396002635696585,60.214939785003665,0.7393333333333334,"[('AKT2', True), ('CTNNB1', True), ('SNAI1', True), ('TGFbeta', True)]"
LNMCS,1000,4,60,0.694,0.03274921542741312,60.23571417331696,0.7440000000000001,"[('AKT2', True), ('CTNNB1', True), ('ECMicroenv', True), ('SNAI1', True)]"
BILNMCS,1000,4,60,0.72748,0.06287334570388316,60.21266210079193,0.8436000000000001,"[('CTNNB1', True), ('NICD', True), ('SNAI1', True), ('miR200', False)]"
NRPA,1000,4,60,0.6897333333333332,0.04803581996801967,60.17812712192536,0.7879999999999999,"[('CTNNB1', True), ('DNAdamage', False), ('ECMicroenv', True), ('SNAI1', True)]"
GNRPA,1000,4,60,0.6920666666666667,0.024288451759815578,59.78798158168793,0.7239999999999999,"[('SNAI1', True), ('CTNNB1', True), ('p21', True), ('TGFbeta', True)]"
NMCS,1000,5,60,0.6668666666666667,0.04444727213226931,60.2934473991394,0.7400000000000001,"[('AKT2', True), ('CTNNB1', True), ('Metastasis', False), ('SNAI1', True), ('TGFbeta', True)]"
LNMCS,1000,5,60,0.6989666666666668,0.04570933529743492,60.21055076122284,0.7759999999999999,"[('CDH2', True), ('CTNNB1', True), ('Migration', True), ('NICD', True), ('SNAI1', True)]"
BILNMCS,1000,5,60,0.7570000000000001,0.028368574162266267,60.1210236787796,0.8196000000000001,"[('DNAdamage', False), ('ECMicroenv', True), ('SNAI2', True), ('TWIST1', True), ('p21', True)]"
NRPA,1000,5,60,0.7393,0.0436487113211834,60.279639101028444,0.809,"[('CDH1', False), ('DNAdamage', False), ('SMAD', True), ('SNAI1', True), ('TWIST1', True)]"
GNRPA,1000,5,60,0.6988000000000001,0.06781022538427858,57.69960780143738,0.821,"[('SNAI1', True), ('CTNNB1', True), ('ECMicroenv', True), ('NICD', True), ('CDH1', False)]"
NMCS,1000,6,60,0.6729333333333333,0.029635114307186364,60.25488693714142,0.7106666666666668,"[('AKT2', True), ('DKK1', True), ('ECMicroenv', True), ('TWIST1', True), ('ZEB1', True), ('miR200', False)]"
LNMCS,1000,6,60,0.7159666666666665,0.05031091112052906,60.282418966293335,0.7986666666666666,"[('AKT2', True), ('CDH1', False), ('CTNNB1', True), ('DNAdamage', False), ('SNAI1', True), ('ZEB2', True)]"
BILNMCS,1000,6,60,0.7755599999999999,0.06373255369118674,60.16730122566223,0.9072,"[('AKT2', True), ('DNAdamage', False), ('ECMicroenv', True), ('SNAI2', True), ('TWIST1', True), ('miR200', False)]"
NRPA,1000,6,60,0.752,0.05451360686409715,60.23628277778626,0.8453333333333334,"[('CDH1', False), ('CDH2', True), ('DNAdamage', False), ('NICD', True), ('SMAD', True), ('ZEB2', True)]"
GNRPA,1000,6,60,0.6959333333333333,0.0656986047543376,59.29248704910278,0.821,"[('CTNNB1', True), ('TWIST1', True), ('SNAI1', True), ('GF', True), ('NICD', True), ('DNAdamage', False)]"
NMCS,1000,8,60,0.6741333333333334,0.056224391701664704,60.16642251014709,0.7490000000000002,"[('AKT2', True), ('CDH2', True), ('CTNNB1', True), ('ERK', True), ('Metastasis', False), ('Metastasis', True), ('SNAI1', True), ('TGFbeta', True)]"
LNMCS,1000,8,60,0.7348,0.03936642675625454,60.14325096607208,0.7899999999999999,"[('CDH2', True), ('CTNNB1', True), ('DNAdamage', False), ('SNAI1', True), ('TGFbeta', True), ('TWIST1', True), ('miR200', False), ('miR203', True)]"
BILNMCS,1000,8,60,0.77884,0.06202178971942037,59.566835570335385,0.8684000000000001,"[('CDH1', False), ('CTNNB1', True), ('DNAdamage', False), ('Metastasis', False), ('NICD', True), ('SNAI2', True), ('TWIST1', True), ('VIM', True)]"
NRPA,1000,8,60,0.7592666666666668,0.05890704541903284,60.23366377353668,0.8276666666666668,"[('AKT1', True), ('DNAdamage', False), ('ECMicroenv', True), ('Metastasis', True), ('NICD', True), ('SMAD', True), ('SNAI2', True), ('TWIST1', True)]"
GNRPA,1000,8,60,0.7379333333333333,0.05936830430082666,59.88092110157013,0.8506666666666666,"[('VIM', True), ('SMAD', True), ('CTNNB1', True), ('p63', False), ('ZEB2', True), ('NICD', True), ('SNAI1', True), ('CDH1', False)]"
NMCS,1000,9,60,0.6307999999999999,0.03890335603917881,60.22616605758667,0.6753333333333331,"[('AKT2', True), ('CDH1', False), ('CTNNB1', True), ('GF', False), ('Metastasis', True), ('SMAD', True), ('ZEB1', False), ('p53', False), ('p73', False)]"
LNMCS,1000,9,60,0.7306666666666668,0.041478508491346086,60.2866409778595,0.7930000000000001,"[('DKK1', False), ('DNAdamage', False), ('ECMicroenv', True), ('GF', False), ('NICD', True), ('SNAI1', False), ('SNAI1', True), ('SNAI2', True), ('p21', True)]"
BILNMCS,1000,9,60,0.76224,0.057797217926125126,60.10411388874054,0.8336,"[('CDH2', True), ('CTNNB1', True), ('DNAdamage', False), ('ECMicroenv', False), ('ECMicroenv', True), ('ERK', True), ('GF', True), ('TWIST1', True), ('ZEB1', True)]"
NRPA,1000,9,60,0.7844666666666666,0.05903223225022444,60.25485980510712,0.8533333333333334,"[('AKT2', True), ('CDH1', False), ('CDH2', True), ('CTNNB1', True), ('DNAdamage', False), ('ECMicroenv', True), ('SNAI1', True), ('miR203', False), ('p21', True)]"
